,count(8332)
【収蔵用外,3
収蔵用外箱,3
蔵用外箱・,3
用外箱・表,2
外箱・表紙,2
箱・表紙】,2
医者談義　,8
者談義　五,3
談義　五冊,3
用外箱・背,1
外箱・背表,1
箱・背表紙,1
・背表紙】,1
義　五冊 ,1
　五冊 　,1
五冊 　　,1
冊 　　　,1
 　　　　,1
　　　　　,2
　　　　富,1
　　　富士,1
　　富士川,1
　富士川本,1
富士川本　,2
士川本　イ,2
川本　イ　,2
本　イ　3,1
　イ　39,1
イ　395,1
【整理ラベ,8
整理ラベル,8
理ラベル・,8
ラベル・富,8
ベル・富士,8
ル・富士川,8
・富士川本,8
富士川本／,8
士川本／イ,8
川本／イ／,8
本／イ／3,8
／イ／39,8
イ／395,8
／395】,8
【表紙　題,1
表紙　題箋,3
紙　題箋】,3
者談義　　,5
談義　　一,1
【貼紙ヵ、,1
貼紙ヵ、手,1
紙ヵ、手書,1
ヵ、手書き,1
、手書き文,1
手書き文字,2
書き文字】,2
イ一ヲモテ,1
【朱印・京,4
朱印・京都,4
印・京都帝,4
・京都帝国,4
京都帝国大,4
都帝国大学,4
帝国大学図,4
国大学図書,4
大学図書之,4
学図書之印,4
図書之印】,4
【朱印・富,4
朱印・富士,4
印・富士川,4
・富士川游,4
富士川游寄,5
士川游寄贈,5
川游寄贈】,5
【朱印・山,4
朱印・山口,4
印・山口文,4
・山口文庫,4
山口文庫】,4
【黒印・7,4
黒印・70,4
印・705,4
・7058,4
70582,4
05823,4
5823　,4
823　昭,4
23　昭和,4
3　昭和1,4
　昭和15,4
昭和15.,4
和15.9,4
15.9.,4
5.9.5,4
.9.5】,4
医者談義巻,8
者談義巻一,1
りは天地ひ,1
は天地ひら,1
天地ひらけ,1
地ひらけて,1
ひらけて八,1
らけて八十,1
けて八十一,1
て八十一万,1
八十一万五,1
十一万五千,1
一万五千五,1
百八十二年,1
八十二年に,1
十二年にし,2
二年にして,2
年にして今,1
にして今よ,1
して今より,1
て二万二千,1
二万二千八,1
万二千八百,1
二千八百七,1
千八百七十,1
にあたつて,1
出たまひて,3
の道をあき,1
道をあきら,1
をあきらか,1
あきらかに,1
たまふこれ,1
まふこれを,1
付て上下二,1
と成て今に,1
成て今につ,1
て今につた,1
今につたは,1
につたはれ,1
つたはれり,2
伏義より一,1
義より一万,1
より一万七,1
り一万七千,1
一万七千七,1
万七千七百,1
七千七百八,1
千七百八十,1
七百八十七,1
百八十七年,1
八十七年に,1
十七年にし,1
七年にして,1
たまひて一,1
一年の日の,1
て三百六十,1
三百六十五,1
られ上中下,1
れ上中下三,1
上中下三巻,1
中下三巻の,1
をあらはし,3
あらはして,1
らはして今,1
はして今に,1
より五百年,1
り五百年の,1
五百年の後,1
百年の後に,1
【鬼庾区ヵ,1
鬼庾区ヵ】,1
庾区ヵ】等,1
区ヵ】等の,1
を定められ,1
といふ以上,1
いふ以上三,1
ぶを以て医,1
を以て医は,1
以て医は三,1
世ならずん,1
ならずんば,1
らずんば用,1
ずんば用ゆ,1
んば用ゆべ,1
ば用ゆべか,1
用ゆべから,1
ゆべからず,2
べからずと,4
からずとい,2
らずといへ,2
ずといへり,2
年の後今よ,1
の後今より,1
後今より千,1
今より千五,1
より千五百,1
り千五百年,1
千五百年の,1
傷寒雑病論,1
あらはし一,1
らはし一百,1
はし一百十,1
し一百十三,1
の薬法三百,1
薬法三百九,1
法三百九十,1
三百九十七,1
百九十七法,1
九十七法の,1
十七法の治,1
七法の治法,1
法の治法を,1
の治法を定,1
められしな,1
られしなり,2
れしなりこ,1
しなりこれ,1
なりこれよ,1
りこれより,1
にいたつて,2
のおほくな,1
おほくなり,1
ほくなりし,1
くなりしこ,1
なりしこと,1
することに,1
ることに成,1
