,count(9562)
表紙,10
紙】,9
医者,74
談義,35
　五,4
　　,15
士川,15
95,9
5】,12
書き,4
字】,4
加持,5
病家,14
印・,16
京都,7
印】,5
山口,5
疱瘡,16
人参,35
りは,9
は天,7
ひら,4
けて,6
八十,4
十二,6
二年,4
にし,73
して,191
て今,5
より,95
七十,5
にあ,31
あた,17
たつ,6
つて,16
たま,20
ひて,24
の道,4
をあ,11
らか,8
かに,5
まふ,5
ふこ,8
これ,15
れを,6
付て,7
て上,4
と成,11
成て,13
につ,5
つた,4
たは,5
はれ,14
れり,21
り一,5
て一,8
年の,8
日の,6
て三,4
六十,6
薬品,4
られ,13
あら,25
らは,9
はし,12
ヵ】,10
する,82
めら,4
内経,4
とい,135
いふ,83
以て,25
て医,6
医は,15
なら,53
らず,71
んば,6
用ゆ,18
ゆべ,6
べか,20
から,43
ずと,16
いへ,55
へり,22
仲景,5
傷寒,8
十六,4
の薬,4
法の,6
治法,6
れし,11
しな,18
なり,199
りこ,6
れよ,4
医道,6
に成,15
にい,22
いた,28
のお,5
おほ,4
くな,7
りし,21
しこ,6
こと,110
るこ,35
成し,8
り是,20
是は,4
の事,8
日本,15
ては,27
りて,57
和気,4
丹波,4
の二,4
半井,5
道三,15
家の,10
また,13
り然,11
然れ,12
ども,46
以前,4
医家,5
もな,9
なし,32
しへ,4
へは,4
くだ,8
ださ,4
され,13
はせ,5
せた,5
ひし,9
しと,45
とな,43
以来,4
すべ,18
をな,7
らひ,7
にて,58
つく,9
くる,7
もい,9
知ら,7
らぬ,11
なる,54
ある,56
るを,18
を見,13
にや,4
やら,14
をま,5
めて,9
見る,11
内に,4
駕籠,4
乗物,9
昼夜,6
がし,10
には,44
ごと,32
とく,14
【「,10
人を,21
をの,4
のし,5
てい,18
時に,7
【左,16
ージ,8
挿絵,9
のみ,12
み】,6
【右,4
々に,4
のな,14
なき,24
所な,7
し此,5
故に,16
しら,7
まれ,7
らへ,7
へに,11
さら,11
ゆる,18
道の,6
