,count(2965)
【,25
嘉,23
天,9
諸,19
酉,1
凡,1
朱,31
米,4
壱,15
御,146
倹,4
○,84
年,9
未,5
子,1
卯,5
處,3
候,63
積,3
参,1
舞,1
三,27
手,16
墨,1
邊,1
四,17
村,19
取,29
自,8
鍛,1
面,2
五,21
昨,8
高,12
財,1
人,8
指,13
六,21
相,94
毛,2
多,7
名,22
造,2
上,9
不,35
ニ,28
之,62
百,3
来,8
七,11
書,8
爰,1
返,2
砲,1
申,46
品,2
被,36
郷,10
有,27
免,1
依,2
出,23
ゟ,5
右,72
可,49
但,61
覚,10
一,190
山,1
以,27
段,2
跡,1
直,3
當,21
午,13
性,1
済,3
度,5
猶,6
速,3
巳,7
容,2
恐,1
引,4
運,2
事,11
割,2
心,12
徹,2
テ,1
シ,2
方,9
此,37
八,5
美,3
千,2
板,3
九,2
阿,7
惣,1
内,9
同,16
外,5
尤,9
乞,1
十,13
抔,1
地,3
下,16
無,14
併,1
伺,1
武,4
列,1
様,4
込,1
等,9
難,12
違,3
理,1
ヲ,6
得,6
別,13
仰,17
飯,5
仕,13
貯,1
大,9
時,3
聞,5
精,4
融,1
任,2
主,2
農,3
至,2
他,7
小,3
重,9
正,11
奉,12
私,2
請,10
仁,4
富,1
湯,4
松,6
東,9
作,1
秋,2
義,13
諭,1
仍,3
連,2
羽,3
市,3
金,2
公,2
更,1
へ,1
損,1
居,9
前,7
炊,1
約,1
就,3
者,12
分,2
最,2
剛,1
ご,1
骨,2
折,2
々,1
恨,2
う,1
ミ,1
辞,2
い,2
か,4
召,5
宛,2
憐,2
れ,2
を,3
忘,2
わ,1
纔,1
せ,2
悖,2
も,6
尚,4
其,11
旨,5
而,3
迫,1
豊,1
早,5
悪,1
乱,1
通,2
亥,7
了,4
日,5
沖,3
越,2
寅,5
救,3
規,1
證,1
盛,1
皆,1
限,4
印,1
組,11
教,2
元,5
懇,1
進,1
古,1
中,8
暑,1
麁,1
町,4
持,4
左,4
藍,1
調,2
弘,8
片,2
後,8
辰,2
端,3
牽,1
繋,1
場,5
懸,5
達,1
頃,1
口,4
障,1
修,1
誓,2
迄,4
先,12
つ,1
為,11
少,3
與,10
打,2
聊,1
故,1
春,2
向,5
止,2
付,10
儘,1
兎,4
寄,3
莫,1
な,2
遮,2
サ,5
詰,1
去,2
江,2
迷,2
佐,8
福,3
定,1
残,1
岸,2
素,1
於,6
畳,3
張,1
木,2
杮,1
萱,1
と,2
趣,3
貢,1
給,2
質,5
筋,3
入,5
遣,1
都,3
往,2
食,1
今,1
衣,1
触,1
体,1
到,1
条,1
躰,1
家,4
第,4
追,5
騒,1
勿,4
拾,3
餘,1
令,2
受,1
共,5
銀,4
明,2
配,1
在,1
支,2
近,11
菊,1
南,5
田,3
末,4
斗,1
鶴,1
立,2
筒,1
月,2
兼,5
万,2
究,4
荒,1
儀,4
哉,2
存,4
本,7
鴈,1
文,1
如,3
然,2
傳,6
成,4
願,4
岡,3
伊,3
那,1
形,1
疼,1
留,2
北,2
要,1
国,2
浦,2
夫,4
鈴,3
し,1
厚,1
弐,1
夜,1
覗,1
賣,1
興,2
音,2
角,1
社,1
只,5
比,2
程,1
困,2
行,2
模,1
思,4
置,3
潤,1
写,4
僻,3
蘭,2
奇,1
致,3
流,1
洩,1
守,1
西,3
セ,2
洋,2
ヤ,4
学,4
カ,3
ナ,1
キ,3
ク,1
ヘ,1
ツ,1
研,2
ト,2
臆,2
断,2
タ,1
杜,2
ホ,2
撰,2
ヨ,1
イ,1
ム,1
コ,2
エ,1
ヒ,2
ア,3
洲,1
親,2
現,1
師,1
葬,1
物,1
何,8
徳,1
麻,3
已,2
罷,6
両,5
幷,4
見,2
格,4
捨,1
女,1
す,1
合,1
柄,1
火,1
始,3
姓,1
呼,1
意,2
番,4
捕,1
送,2
却,1
逗,1
津,4
各,2
勝,3
庄,6
落,1
浮,1
玉,1
破,3
裂,2
延,1
再,1
紙,1
貸,1
郡,3
丑,2
随,1
急,2
屹,3
是,3
寺,2
尋,1
且,3
お,4
淡,1
馬,1
赤,1
穂,3
森,2
氣,1
買,2
噤,1
遂,2
胡,3
廻,2
二,3
類,2
吉,1
目,2
の,1
土,1
宮,3
迚,1
廣,1
冬,2
借,1
應,1
篤,2
住,1
新,4
拝,4
半,3
職,1
数,2
嶋,1
次,2
傍,1
井,1
服,1
将,1
畢,1
海,1
歩,4
觸,1
愈,1
絹,1
役,3
河,1
坂,1
諏,2
与,5
震,1
徘,1
押,3
慥,1
底,1
道,2
真,1
孫,1
安,7
初,1
男,1
代,2
又,2
施,1
雇,1
切,1
演,1
及,1
認,1
帳,2
斯,1
ば,1
奕,1
差,1
問,1
拙,1
巨,1
領,1
酒,1
覺,6
栄,1
毎,1
鎌,1
従,1
渋,1
野,1
輪,1
貞,1
紋,1
曽,1
茂,1
繁,3
盤,1
旅,3
臨,1
〆,5
頭,3
病,1
寛,3
繰,1
冨,1
粟,1
林,1
知,1
添,1
承,1
株,1
唱,1
廿,1
双,1
麦,1
暫,1
砌,1
禁,1
務,1
彼,1
員,1
久,1
交,1
助,1
臺,1
表,1
鮎,1
岩,1
