,count(250)
朱丸六　　御郡代様ゟ猶々倹約向御口達書写,1
朱丸八　　御年貢御定幷俵仕立方御取究筋写,1
三十二　西洋学盛ニ相成候ニ付蘭学御指留事,1
四十四　救助御指延ニ付教諭人出勤一件之事,1
四十八　別宮川口御川浚御褒演被仰渡書之事,1
五拾八　地震ニ付小松嶋浦出火焼出ニ及難義,1
七十五　於郡々ニ既入之外身居有之者共新流,1
出買指留宝暦年中觸達候別紙品書之分迄市中,1
右之外ニも要用之品於有之而ハ是又申談存寄,1
但別帋品書之内たりとも市中ゟ相調へ可相濟,1
一杓子柄杓　　　　　　　一けんとすいの？,1
段格別高直ニ相成畠作之村々秋毛之作物賣拂,1
當前之事ニ候得共米麦直段如當年高直ニ罷成,1
容易ニ相心得可申然時ハ厚御慈悲も薄相成奉,1
引上候勢ニ相見候所先日之下落已来格別引上,1
事ニも候得ハ猶以上納向此上相速取候様厚可,1
一右様無之而ハ百姓第一之役義忘却ニ相成可,1
内六千三百壱石八斗　　　　　　美馬　三好,1
同六千四百廿七石八斗　　　　　名東　名西,1
同三千四百四拾七石九斗　　　　阿波　麻植,1
一弐歩通御指延者惣体へ申渡候得共相應身代,1
ニ而ハ弐歩三歩又半数も来夏延へ相成義も可,1
直段ヲ引下ケ取立相済セ候歟當季加地子之内,1
来年へ指延小百姓立行候様地主共へ了簡加へ,1
一市郷共飯料ニ米相用候者は一日三度之内来,1
一右同断麦相用候者は粥ニ難相成候ニ付一日,1
一郷分造酒之儀三歩一減石仕候様相觸有之所,1
飯料乏布場ニ至候而も難渋不仕様倹約ヲ専ニ,1
飯物相減候時者壱家五人之家族ニ而五合宛之,1
相凌候食物致出来候道理ニ候依而差廻り不申,1
他國無切手胡乱者等者精々相調へ追拂可申事,1
一右之通食物倹約仕候中ニ全過酒成ハ農業不,1
相勤候而者別而不埒之事ニ候条心得違之者無,1
仰出下々江申諭候得ハ壱統冥加至極難有奉忝,1
御趣意を相応シ精々飯料倹約仕可申と奉存候,1
御仁恵無此上難有仕合私共手元へ逸々召呼申,1
諭候所壱統感服仕奉畏候ニ付御請書取懸申候,1
昨年之義ハ他国之不作津留等ニ而米麦不融通,1
申間敷仍而者市郷共當五月迄一日一度ハ粥雑,1
出来目ニハ候へ共兎角米麦高直ニ而急ニハ常,1
者も麁食欠略ハ勿論ニ候へ共其程ヲ過不申様,1
折之甲乙ニも寄自然之持前有之といへとも万,1
御仁恵之御趣意御郡代様御口達之御趣等被入,1
昨年柄ニ付諸給人年貢不約之趣ニ相聞候ニ付,1
御年貢之儀近年凶作続ニ而御定日をも打過月,1
相至り候義ニ御座候所俵仕立之義村柄ニ寄甚,1
以仕立悪布村も多有之候様相見折ニハ米之善,1
有之右俵仕立之義者兼而先達而御文通ニ相及,1
申義ニ御坐候所近年又々仕立悪布候様相成中,1
被成度候尤六月後ニ相至り御用米ニ船積等ニ,1
一諸道具砕方屋祢葺草取除方等之義ハ同心衆,1
相聞候随而右類ハ心得宜尤之次第ニ付十ケ年,1
限ニ不相抱出銀目皆納成候上ハ家等壱統之連,1
印ヲ以證文指遣儀ニ候条右様相心得夫々申付,1
旨可遂了簡候以上　　　　　赤川三郎右衛門,1
暑寒又ハ時候見舞として贈物致来候類相聞候,1
之内ニ與頭庄屋も御坐候ニ付右者へ板野郡之,1
弘化元年八月九日　　名西　　岸　新左衛門,1
右名西之内出合之者ニ申通候様申聞可仕哉事,1
一通町筋ゟ新町橋筋西新町壱丁目筋ゟ佐古町,1
十一丁目上鮎喰迄南者大工町筋ゟ弐軒屋町迄,1
右道筋小荷駄馬之義馬方共付添店崎ニ而懸合,1
相背候者於有之ニ者見咎メ次第人馬共其店ニ,1
但右之通取究候様於被仰付ニ者御郡代江も御,1
東名東　　早渕　　井戸　　北新居　　芝原,1
誓慎旅宿へ罷出一昨日ゟ重々彼是懸合ニ及是,1
右之趣篤と御心得させ可被成候且此書状先々,1
少も無遅滞御廻達被成度候右為可得御意如此,1
打續恐悦事被為在其時々不少御入目有之其餘,1
公義御本丸炎上ニ付而ハ御上金被蒙仰犇と御,1
寄懸り御評儀者先差止如何様ニも御取約ヲ以,1
詰之趣意難被為　黙止被思召候乍然願之寄返,1
可申共三歩半寄懸り被仰付候得ハ少ハ迷惑も,1
可薄其餘御不足之所ハ如何様ニも仕當分之處,1
當り之所務ニ而三歩半被召上候尤無足之義者,1
去ル戌年之引合ヲ以米六十目麦三十目之建ニ,1
返上之義者御用捨被仰付諸士御役銀勧農井関,1
相達候且知行等被下候寺社幷町御奉行御郡代,1
相觸置候所兎角立直り不申趣ニ付尚又此度右,1
素之心得等左書ケ条之件々取究之義御當職御,1
組村浦役人共厚相心得ケ條之通取究候様随而,1
右者御作事處上之賃銀ニ付郷分是迄之成行ニ,1
持参と申ハ無之受負之外者雇主之方ニ者賄遣,1
相守不筋ニ賃増等仕候ニおゐてハ雇主被雇人,1
右ハ近年過當之高賃高給を取候様相成召仕候,1
等迄も難義を懸候義毎々有之日雇奉公人とも,1
高賃高給を無意ニ費し候趣別而如何之事ニ而,1
此度賃銀給銀等引下候迚も質素正路ニ相稼候,1
得ハ迷惑之筋ハ無之事ニ候条右之處能々相心,1
取召抱候義古来より之御達ニ候處心得違證文,1
取不申者も有之又不筋を相工無證文ニ而奉公,1
取究候ニ付而ハ御古法之通いつれも請状指出,1
申付候ニ就而ハ村役人共ニおゐても不都合ニ,1
相背晝夜ニ不限人集せしめ飲食之品相商不筋,1
付不相用抜々女等を指置不筋之懸合等為仕候,1
右ハ近来一牧花美ニ長相應相暮候者ハ衣服飲,1
今日之暮方費多人々夫等之事ハ相心得候而も,1
懸りニ候故一牧末々之者共迄も身分相應ニ右,1
相生候義ニて花美ニ相流候義ハ百姓共手薄ニ,1
触出候事ニ候然所日中之儀者晝俄と相唱末々,1
出火有之候ニ付村々火之用心且胡乱者召捕等,1
之義村々ニおゐて最寄住居之者申談シ打廻り,1
一統ニ難有相心得無手抜打廻り等可仕候ニ付,1
仍而ハ人々手元之火之用心を第一ニ取究相廻,1
拾ケ年之間身代相應之出銀申出候寄持之懸り,1
宛ニして六ケ年上納相運候様申聞候而も不納,1
無滞相運居候者之氣配ニ相障不都合ニ付此度,1
右不納人共取都而與頭庄屋共へ申付候条組切,1
共江者懇ニ教諭ニ及其上ニも兎角不心得を以,1
ニ者無據不納せしめ居候者共夫々名面幷上納,1
明夏ニ而御免被仰付事ニハ候得共今度御手傳,1
被蒙仰候ニ付而ハ人々疑惑之筋も可有之哉と,1
在候間一統難有相心得可申且支配有之面々ハ,1
支配之者へも能々申聞為相心得候様可仕候事,1
就而ハ惣而前々ゟ之御究通ニ被　仰付候乍去,1
斗之間鴈追立御弛も被仰付候儀有之候所様々,1
被　仰付候条百姓共難有相心得不心得之追方,1
不相悖様御留野村々役人共始百姓共へ篤と相,1
御懇ニ被仰渡難有奉畏候仍而村中惣代之私共,1
被仰渡夫々難有奉畏候随而村中小百姓共義ハ,1
御免被仰付候ニ付而ハ先達而厚被仰出之通り,1
○【朱】廿四　御郡代様ゟ御渡成候ニ付写置,1
等仕鳥追立候ニ付彼是相行着已来之儀屹と取,1
末ゟ彼岸迄之間年々気候之遅速ニ随右時節之,1
如何様郷分難渋之筋無余義相聞候時節も限り,1
被申出候様ニ有之度旨若山六十郎殿被申聞候,1
ニ付尚同役共壱統江も其段申継候様可仕候於,1
候趣ニ候へハ其通ニ御心得可被成候畢竟元建,1
居申上右様外役相勤候段迷惑歎出候ニ付兼而,1
阿波郡筋へ徳島ゟ御出郷諸御奉行様方御通行,1
成居申處前顕之通阿波郡筋ゟ南方筋へ御出張,1
傳馬筋之御手形御仕出被仰付度旨私共手元迄,1
奉仕可申候間前顕願出之通向後之義ハ中往還,1
傳馬所へ御往通成候様被仰付被為下度奉存候,1
前顕之懸傳馬組合村ゟ奉願上候處午五月四日,1
候所御手代木村五郎吉殿ゟ被仰渡候者右申出,1
之懸御壱統御評義被為　遊候所別紙願出之運,1
壱通御用筋之義ハ已後北往来筋へ相配候御趣,1
出来之砌者南往来筋へ相配候義も御坐候故先,1
候ニ付難有相心得傳馬組村々江右御入割筋申,1
傳馬組村々へ申聞夫々難有奉承知候旨申出候,1
疼強米麦を始穀物高價ニ而一牧不融通之所ゟ,1
其方共申談請持先出銀人共へ申聞候様可仕事,1
相暮喰延此上他国如何様穀物高價ニ相成候共,1
要之時云々候随而他国穀物高價ニ承及利潤ニ,1
郷御奉行も相心得市中者町々役人共ゟ小前之,1
者迄懇ニ申聞村浦役人共も同断小百姓ニ至迄,1
夫々小百姓ニ至迄懇ニ申聞候段役人共ゟ請書,1
當秋風雨出水ニ付潰家ニ相成り候村々百姓共,1
等之了簡も不令出来就中而ハ飯物ニも難渋せ,1
諸郷地面之儀者多分故障有之候而指支候ニ付,1
程能出来成不申哉ニも相聞分ケて昨今年柄故,1
困窮人共多御坐候ニ付當廿七勧農御普請之義,1
難有被思召就而者御普請奉行時々罷出候而も,1
思召を以猶又相應ニ相暮候者共ゟ少々宛人夫,1
之者も有之候ハヽ向来如何成弊生す間敷とも,1
可及吟味ニ候右ニ付而者万石已上之西之海岸,1
ヨク　　　キル　　　ボウ　　　　カソヘル,1
御通行村々之義ハ終日鳥追立指留可申尤川筋,1
嘉永四亥年五月十一日松江島三郎佐藤粂三郎,1
後藤庄助阿部源左衛門三人被召出當年之義者,1
ニ而番非人相配取固メ置直ニ御役場へ可召連,1
諸賑向之儀是迄時々願出候趣ニ應シ承届遣シ,1
仕在候實意ニ心ヲ付合可申候右之趣村内頭百,1
此砌蔵本邊出火有之其方共ニおいても相心得,1
却而跡手薄候故如何様共申談胡乱者召捕之儀,1
趣ニ應シ何者ニよらす召捕候者へ褒美可遣候,1
出銀取立候心得之向も可有之欤ニハ候得ども,1
来ル卯冬迄追送り取立候様申付候尤不融通ニ,1
為仕可申此段其方共へ申談受持崎出銀人共へ,1
候へハ必命を失ひ候場ニ相至り候間兼相心得,1
両三年世上不融通ニ付而者昨未年より三ケ年,1
○【朱】別宮川口御川浚ニ付御褒演被仰渡写,1
申談孰も御国恩冥加を相心得日々多人数罷出,1
罷出候者も有之候得共少も不相厭前夜ゟ御普,1
精堀浚相速取候者村々役人共罷出候百姓共へ,1
相聞雨乞御祈祷被仰付之段ハ去廿二日触達之,1
通ニ候處猶又御城内龍王社ニおいて三日之間,1
随而右様御仁恵被為　仰付冥加至極難有義ニ,1
候条其方共組村浦役人小百姓共へ至迄不洩様,1
猶以本文之御趣意難有相心得候段壱郡其方共,1
御普請相仕立させ受負普請為仕候義ハ難相調,1
相仕立候向も有之右受負之者仕成不宜義等も,1
請願幷御普請仕様写取之義已後左之通申付候,1
願出候ニおいてハ願帋面ニ与頭庄屋奥書を請,1
其村々役人幷頭百姓壱両人同道罷出可指出候,1
左候得ハ右紙面是迄之儀ハ手代取次ニ而指出,1
相心得其節尋に及候儀有之候ヘハ暮向等出来,1
御普請役手元へ村役人之内罷出仕様写取セ候,1
一御普請皆出来候儀ハ例年四月廿日切ニ案内,1
如何之事ニ候条已後之義ハ取究之通廿日迄ニ,1
度々被　仰出候御趣意有之候得共近年花美ニ,1
別而不心得如何之事ニ候条以後御制服ハ勿論,1
質素倹約御制服之義先年ゟ度々被御書相達候,1
以後屹と取改御制服相守櫛笄其余履物ニ至迄,1
御郡代へ被申聞義可有了簡旨御目付中申達事,1
入込ニ候様相見候ニ付昨年六月取究追拂申付,1
○【朱】寅十一月十七日松江島三郎後藤庄助,1
候様可仕候右様被仰付候義ハ一牧難渋助ケ合,1
町奉行所ニおいて厚取究候趣ニ而市中右程ニ,1
候様之義有之ニおいてハ猶更以其儘ニ不相成,1
