,count(27441)
紙】,6
嘉永,29
　　,670
諸御,9
御趣,98
趣意,89
意書,19
幷御,6
御下,11
下知,11
向之,14
八月,26
朱丸,31
年中,5
中御,8
御觸,6
御免,16
之品,16
関東,4
凶作,5
作ニ,9
ニ付,282
直段,5
高直,15
直ニ,14
付御,36
御年,27
年貢,25
米之,7
之内,46
弐歩,14
歩通,10
四月,9
月迄,10
迄御,6
御指,28
指延,10
被仰,223
仰付,184
付候,145
候事,145
市郷,16
飯料,11
米相,4
相用,16
一日,32
日ニ,7
度之,18
五月,17
ニ可,11
可仕,50
候御,45
御書,20
書付,32
付写,6
四　,11
万事,4
倹約,36
仕御,6
趣御,6
口達,9
書之,40
之事,113
五　,12
江戸,15
趣ニ,35
仰聞,11
六　,11
　御,26
御郡,50
様ゟ,7
向御,6
書写,19
七　,11
　諸,6
給人,9
不都,20
付村,6
村役,38
役人,96
心ヲ,12
ヲ付,12
候様,232
様御,28
端書,18
八　,12
御定,4
仕立,13
立方,5
方御,14
御取,34
取究,89
九　,12
非人,21
人小,4
小家,7
救助,14
皆納,4
仕候,94
候得,156
得者,14
者御,17
證文,9
被下,28
下候,17
十一,47
一　,12
御役,61
十二,30
二　,8
勧化,4
り紙,7
天保,13
巳年,8
意被,9
申候,52
午年,14
　此,6
此御,4
株無,5
無御,14
御座,39
亥年,11
十三,20
寅年,11
弘化,14
化三,9
未年,7
三　,9
町方,7
十四,18
無僧,4
吹笛,4
懸合,7
而申,5
申継,26
十五,19
御家,39
家中,36
三歩,14
寄懸,4
仰出,38
出書,4
十六,18
職人,6
日雇,15
賃銀,10
銀御,4
十七,16
究書,4
之写,20
十八,14
山下,27
下村,10
村々,71
用心,10
筋之,12
十九,20
銀不,4
出之,24
之處,24
六ケ,5
ケ年,15
年ニ,7
ニ御,42
付書,6
二十,11
十　,8
歩懸,19
切ニ,9
ニ而,145
秋ゟ,7
ゟ御,29
免被,10
作之,11
之義,271
義ニ,49
御留,12
野之,4
究向,14
文化,6
年御,6
廿五,4
海部,5
屋へ,17
阿波,10
筋御,4
人御,13
御往,5
往来,19
送り,20
ママ,8
傳馬,14
處ゟ,5
迷惑,36
惑之,12
之旨,14
旨申,9
申上,30
已後,8
北往,4
筋へ,9
へ罷,12
罷成,5
成り,5
廿六,10
右御,18
かへ,5
廿七,11
方之,33
義御,10
廿八,4
當秋,7
柄ニ,10
ニ寄,11
風雨,9
出水,4
等ニ,25
而他,4
他国,27
国表,4
米價,4
御国,21
ニ引,8
相場,8
も無,16
無之,74
積出,4
不仕,17
仕様,17
様之,39
一月,23
廿九,7
水ニ,4
潰家,6
ニ相,182
相成,107
成御,7
御手,36
手當,15
當御,4
丸三,4
三十,26
毘羅,5
観音,6
毎月,4
人ニ,8
諸品,5
指免,4
右ニ,15
正月,30
勧農,11
御渡,28
　西,4
成候,81
候ニ,128
指留,13
邊路,10
手代,15
當テ,6
與頭,33
庄屋,92
手元,25
見分,10
分之,17
導師,5
五人,16
旅宿,12
先年,10
年被,5
付之,16
御用,29
又者,15
御尋,4
此比,5
体之,5
之者,132
者多,11
多相,6
相見,29
見候,16
地盤,15
而已,9
居宅,5
有之,214
四十,20
致候,9
候品,7
品々,6
々御,26
候義,64
之ニ,20
人共,75
共申,10
申聞,99
此砌,7
出火,10
乱者,28
者召,5
召捕,13
津田,11
田浦,5
教諭,14
出勤,4
都而,11
を以,43
以下,8
申出,82
主意,8
意ニ,21
鮎喰,6
ニお,51
ゐて,41
不納,10
相運,19
申ニ,13
早々,24
取約,5
別宮,4
川口,5
渡書,6
村浦,29
幷目,4
目安,12
行着,9
他村,4
村之,8
義も,35
奥書,7
尚又,16
普請,32
請願,4
ヲ以,33
願出,20
五十,16
いて,15
五拾,14
　南,4
南北,12
郡之,16
内外,4
御普,29
受負,5
与頭,27
面々,52
質素,28
御制,21
淡州,6
買米,9
切手,20
拾五,4
迄之,21
之間,18
往還,4
例年,5
年之,32
之通,113
共取,6
取繕,4
申付,92
拾六,4
土州,5
流之,4
年ゟ,12
拾七,4
中之,23
近年,24
諸物,5
物高,7
昨年,24
違作,8
自然,22
迫ニ,5
相及,30
此度,55
地震,9
損ニ,4
ニ及,13
之御,62
御借,5
利足,7
半数,7
拾八,4
小松,6
松嶋,6
嶋浦,4
出ニ,13
指上,18
々ゟ,14
豊作,8
冥加,10
持之,7
旨被,6
向後,14
相速,6
取候,16
六十,28
及候,20
指入,9
御究,7
究ニ,8
毛綿,7
上候,44
難渋,43
徘徊,5
せし,23
しめ,23
候故,9
絹物,5
勿論,29
たり,9
りと,9
とも,43
高價,9
取扱,12
不申,74
申様,23
打廻,14
廻り,11
目付,21
名面,14
諸国,7
酒造,6
被申,26
員数,8
究之,7
出御,6
付諸,7
物之,7
之類,9
上方,4
仕入,5
候而,76
而者,32
数之,5
之趣,40
都合,28
品相,6
相調,30
申事,54
七月,14
朔日,10
御聴,4
取調,30
手崎,25
盤御,8
候場,11
場處,9
格別,23
繁多,6
出入,39
下々,18
之向,6
向も,12
も可,26
可有,42
以来,27
通ニ,19
付其,6
溜り,6
り候,37
月廿,39
廿一,10
日ゟ,15
二月,34
晦日,9
日迄,19
壱時,9
手懸,67
　三,13
ゟ来,5
當之,6
被召,22
召上,23
七十,12
上納,53
義被,6
之外,18
引上,10
様相,53
州表,4
爰元,4
へ相,21
相納,8
候年,4
等相,8
表ゟ,5
懸り,47
り御,8
御礼,6
之分,18
分御,6
郡々,4
々ニ,22
入之,10
者共,68
仕度,12
者有,18
之候,69
得ハ,61
ハ人,4
出候,139
様被,40
是迄,17
出来,26
来候,10
此節,5
節之,4
人数,10
数御,4
組村,19
立御,6
○【,76
度々,9
究被,8
ニも,53
究候,17
事ニ,109
ニ候,145
得共,75
たし,21
し候,18
候哉,11
哉ニ,17
市中,24
中ゟ,6
者も,18
入込,11
兼而,20
而指,5
も相,31
如何,35
ゟ之,4
之出,7
觸達,8
達候,26
別紙,16
之仕,6
以相,6
共當,7
指支,13
之哉,14
右之,58
外ニ,6
用之,4
而ハ,97
ハ是,4
是又,6
申談,26
存寄,7
可申,193
出事,5
ゟ相,11
へ可,12
可相,24
も有,46
　一,15
停止,4
等者,5
其余,8
以上,61
屋共,32
共へ,69
へ申,39
申渡,33
年柄,10
之村,8
てハ,26
ハ御,31
之筋,9
畠作,5
而も,29
其上,4
をも,10
相聞,51
随而,24
而米,5
直之,5
義ハ,111
ヵ】,14
何様,8
候と,4
無據,7
何れ,10
れも,13
義者,37
前之,7
米麦,9
當年,18
ニ罷,10
之儀,58
儀も,5
別之,9
慈悲,5
意を,5
内ニ,14
ニ者,18
調候,13
候村,7
来通,7
通當,6
當月,5
五日,11
通之,14
月ゟ,4
但本,7
通被,12
心得,187
身分,7
ニて,6
皆済,5
得候,30
候者,75
者ハ,16
納為,4
為仕,12
相至,13
至り,12
り不,9
迚も,14
ニ不,16
不相,44
成丈,7
得之,15
者は,5
次第,13
様可,54
聞候,71
々難,8
厚御,9
御評,16
之上,37
就而,11
々之,24
も右,9
容易,5
相心,115
出精,7
させ,10
猶又,11
又御,5
御蔵,22
ハ右,12
押紙,5
付不,7
不心,21
間敷,7
儀者,17
者不,9
精々,12
々相,15
