,count(42257)
【表,1
表紙,1
紙】,6
嘉永,29
永二,3
二年,2
天印,1
印　,1
　　,670
　赤,2
赤ラ,1
ラベ,1
ベル,1
諸御,9
御趣,98
趣意,89
意書,19
書幷,2
幷御,6
御下,11
下知,11
知向,1
向之,14
之寫,2
酉八,1
八月,26
月吉,1
吉日,1
凡例,2
朱丸,31
丸壱,1
壱　,2
　郷,2
郷店,2
店賣,1
賣物,1
物宝,1
宝暦,2
暦年,2
年中,5
中御,8
御觸,6
觸御,1
御免,16
免之,2
之品,16
品書,3
書事,2
丸弐,1
弐　,4
　関,1
関東,4
東北,3
北國,1
國筋,2
筋凶,3
凶作,5
作ニ,9
ニ付,282
付米,2
米直,3
直段,5
段高,1
高直,15
直ニ,14
付御,36
御年,27
年貢,25
米之,7
之内,46
内弐,1
弐歩,14
歩通,10
通四,1
四月,9
月迄,10
迄御,6
御指,28
指延,10
延被,3
被仰,223
仰付,184
付候,145
候事,145
丸参,1
参　,1
　市,2
市郷,16
郷共,3
共飯,3
飯料,11
料米,1
米相,4
相用,16
用節,1
節一,1
一日,32
日ニ,7
ニ三,1
三度,3
度之,18
内来,3
来五,2
五月,17
壱度,3
度を,1
を粥,1
粥ニ,3
ニ可,11
可仕,50
仕趣,3
趣被,3
候御,45
御書,20
書付,32
付写,6
丸四,1
四　,11
　奥,1
奥羽,3
羽飢,1
飢饉,3
饉ニ,1
付万,1
万事,4
事倹,1
倹約,36
約専,1
専可,1
仕御,6
趣御,6
御改,1
改候,3
御口,6
口達,9
達御,2
書之,40
之事,113
丸五,1
五　,12
　於,3
於江,5
江戸,15
戸旧,2
旧蝋,1
蝋奥,1
羽筋,2
筋稀,1
稀成,3
成飢,1
饉御,1
趣ニ,35
約向,3
向被,2
仰聞,11
聞写,1
丸六,1
六　,11
　御,26
御郡,50
郡代,49
代様,10
様ゟ,7
ゟ猶,1
猶々,1
々倹,2
向御,6
達書,3
書写,19
丸七,1
七　,11
　諸,6
諸給,2
給人,9
人年,3
貢不,3
不都,20
都ニ,3
付村,6
村役,38
役人,96
人心,2
心ヲ,12
ヲ付,12
候様,232
様御,28
御端,15
端書,18
丸八,1
八　,12
貢御,1
御定,4
定幷,1
幷俵,1
俵仕,3
仕立,13
立方,5
方御,14
御取,34
取究,89
究筋,2
筋写,1
丸九,1
九　,12
　番,2
番非,18
非人,21
人小,4
小家,7
家取,2
取崩,2
崩方,2
方伺,3
伺書,3
丸拾,1
拾　,1
　救,6
救助,14
助銀,9
銀皆,2
皆納,4
納仕,6
仕候,94
候得,156
得者,14
者御,17
御證,1
證文,9
文被,2
被下,28
下候,17
趣写,1
丸十,9
十一,47
一　,12
御役,61
役場,21
場指,1
指定,3
定候,2
候進,2
進物,3
物勤,1
勤向,3
究御,4
十二,30
二　,8
　持,1
持明,3
明院,3
院勧,2
勧化,4
化之,3
【前,1
前コ,2
コマ,3
マ裏,1
裏の,1
の貼,1
貼り,7
り紙,7
○天,4
天保,13
保四,2
四巳,3
巳年,8
年　,2
意被,9
年觸,1
觸相,1
相申,1
申候,52
候覚,1
保五,4
五午,5
午年,14
未申,1
申酉,1
酉戌,1
戌　,1
　此,6
此御,4
御株,3
株無,5
無御,14
御座,39
座候,33
保十,5
十亥,2
亥年,11
子丑,1
丑　,1
十三,20
三寅,6
寅年,11
卯　,1
○弘,4
弘化,14
化元,3
元辰,1
辰年,2
化二,3
二巳,3
化三,9
三午,6
化四,2
四未,2
未年,7
永元,4
○申,1
申○,1
○酉,1
三　,9
　牽,1
牽馬,2
馬町,2
町方,7
觸書,2
十四,18
　虚,2
虚無,3
無僧,4
僧吹,2
吹笛,4
笛廻,3
廻在,3
在取,1
究懸,1
懸合,7
合而,1
而申,5
申継,26
継之,2
十五,19
御家,39
家中,36
中三,3
三歩,14
歩半,11
半寄,2
寄懸,4
懸御,3
仰出,38
出書,4
十六,18
諸職,6
職人,6
人日,2
日雇,15
雇賃,5
賃銀,10
銀御,4
十七,16
　町,2
方盆,1
盆踊,1
踊俄,1
俄御,1
究書,4
之写,20
十八,14
御山,25
山下,27
下村,10
村々,71
々火,3
火之,9
之用,9
用心,10
心御,1
筋之,12
十九,20
銀不,4
不出,1
出之,24
之處,24
處六,1
六ケ,5
ケ年,15
年ニ,7
ニ御,42
付書,6
丸二,5
二十,11
十　,8
　歩,1
歩懸,19
懸来,1
来酉,1
酉夏,3
夏切,2
切ニ,9
ニ而,145
而秋,1
秋ゟ,7
ゟ御,29
免被,10
　菊,2
菊作,3
作之,11
之義,271
義ニ,49
御留,12
留野,10
野之,4
究向,14
中歩,3
懸愈,2
愈酉,1
酉秋,3
付文,3
文化,6
年御,6
御記,2
記録,2
録書,2
丸廿,5
廿五,4
　海,1
海部,5
部郡,4
郡日,1
日和,2
和佐,1
佐浦,1
浦御,3
御陣,2
陣屋,2
屋へ,17
へ阿,2
阿波,10
波郡,6
郡筋,4
筋御,4
御交,2
交仕,1
人御,13
御往,5
往来,19
来送,1
送り,20
り夫,2
夫庄,1
庄苻,1
苻【,1
【マ,8
ママ,8
マ、,6
、府,1
府】,1
】中,2
中両,2
両傳,2
傳馬,14
處ゟ,5
ゟ迷,1
迷惑,36
惑之,12
之旨,14
旨申,9
申上,30
上已,1
已後,8
後北,2
北往,4
来筋,4
筋へ,9
へ罷,12
罷成,5
成り,5
様願,1
願書,3
廿六,10
　右,2
右御,18
御願,2
願向,1
知書,1
之ひ,2
ひか,2
かへ,5
廿七,11
銀約,1
約メ,2
メ方,2
方之,33
義御,10
御詰,1
詰書,1
廿八,4
　當,2
當秋,7
秋國,2
國柄,3
柄ニ,10
ニ寄,11
寄風,1
風雨,9
雨出,3
出水,4
水等,2
等ニ,25
而他,4
他国,27
国表,4
表米,1
米價,4
御国,21
表他,1
国ニ,1
ニ引,8
引競,2
競高,1
高相,2
相場,8
場申,1
候に,1
にも,1
も無,16
無之,74
之故,1
積出,4
出等,2
等不,3
不仕,17
仕様,17
様之,39
永三,4
三戌,2
戌十,3
一月,23
廿九,7
　風,1
水ニ,4
付潰,2
潰家,6
家ニ,4
ニ相,182
相成,107
成御,7
御手,36
手當,15
當御,4
意事,1
丸三,4
三十,26
　金,1
金毘,5
毘羅,5
羅之,2
義観,1
観音,6
音會,3
會日,3
日同,2
同所,2
所毎,1
毎月,4
月幟,1
幟立,2
参詣,2
詣人,2
人ニ,8
ニ交,1
交諸,1
諸品,5
品市,4
市賣,4
賣指,2
指免,4
免楊,2
楊弓,2
弓屋,2
屋獨,2
獨楽,2
舞を,1
を覗,1
覗見,2
見せ,3
せ物,2
物等,3
等右,1
右ニ,15
相準,2
準御,1
永四,9
四亥,8
年正,3
正月,30
　勧,2
勧農,11
農御,6
御銀,1
御渡,28
渡方,2
　西,4
西洋,2
洋学,1
学盛,1
盛ニ,2
成候,81
候ニ,128
付蘭,1
蘭学,1
学御,1
指留,13
留事,1
　他,2
他國,3
國邊,1
邊路,10
路【,1
、遍,1
遍路,1
路】,1
】病,1
病死,2
死村,1
人注,2
注進,3
進書,2
書御,2
手代,15
代當,2
當テ,6
テ認,1
認メ,2
メ與,1
與頭,33
頭庄,79
庄屋,92
屋手,3
手元,25
元ゟ,3
ゟ見,1
見分,10
分之,17
　導,2
導師,5
師書,2
役替,3
替之,1
　庄,3
屋五,6
五人,16
人與,3
與旅,1
旅宿,12
宿料,1
料先,2
先年,10
年被,5
付之,16
　與,5
屋御,4
御用,29
用處,1
處本,1
本畳,1
畳代,2
代又,2
又者,15
者筆,2
筆帋,1
墨料,2
料御,1
御尋,4
尋之,3
此比,5
比邊,2
路体,2
体之,5
之者,132
者多,11
多相,6
相見,29
見候,16
候地,1
地盤,15
盤流,1
流浪,2
路而,2
而已,9
已哉,1
哉居,1
居宅,5
宅有,1
有之,214
者哉,1
哉御,1
　芋,1
芋ス,2
スキ,1
キ抔,2
抔控,1
控置,1
置有,3
四十,20
　紛,1
紛失,2
失致,1
致候,9
候品,7
品々,6
々御,26
諸賑,2
賑向,2
願ニ,3
ニ振,1
振候,3
候義,64
義有,8
之ニ,20
々役,18
人共,75
共申,10
申聞,99
聞方,3
　火,1
心之,3
此砌,7
砌出,1
出火,10
火有,4
付胡,2
胡乱,28
乱者,28
者召,5
召捕,13
捕津,1
津田,11
田浦,5
浦江,1
積送,2
り方,2
助御,2
延ニ,1
付教,1
教諭,14
諭人,9
人出,2
出勤,4
勤一,1
一件,3
件之,2
　都,1
都而,11
而人,2
人指,3
指を,3
を以,43
以下,8
下ゟ,2
ゟ役,2
役義,3
義筋,3
筋申,2
申出,82
御主,6
主意,8
意ニ,21
相振,3
趣之,3
　鮎,1
鮎喰,6
喰川,2
川原,2
原ニ,1
ニお,51
おゐ,41
ゐて,41
て炮,1
炮術,1
術之,1
不納,10
納ニ,1
相運,19
運申,1
申ニ,13
付早,1
早々,24
取約,5
メ可,2
　別,1
別宮,4
宮川,3
川口,5
口御,3
御川,2
川浚,2
浚御,1
御褒,2
褒演,2
演被,2
仰渡,25
渡書,6
村浦,29
浦火,2
心幷,1
幷目,4
目安,12
安願,2
自村,2
共行,1
行着,9
着他,1
他村,4
村之,8
義も,35
も役,1
鍛合,2
合奥,1
奥書,7
書尚,1
尚又,16
又家,1
家普,3
普請,32
請願,4
願繪,1
繪圖,2
面ヲ,3
ヲ以,33
以願,4
願出,20
五十,16
御城,3
城内,2
内龍,2
龍王,2
王社,2
社ニ,2
おい,15
いて,15
て雨,1
雨乞,3
乞之,1
五拾,14
拾壱,1
　南,4
南北,12
北郡,2
郡之,16
内外,4
外勧,2
御普,29
請受,1
受負,5
留幷,1
幷右,3
右願,1
願紙,1
紙与,1
与頭,27
屋奥,2
拾二,1
中面,2
面々,52
々質,2
質素,28
素倹,17
約御,6
御制,21
制服,15
服之,8
拾三,2
　淡,1
淡州,6
州買,2
買米,9
米御,2
知之,3
拾四,2
国無,4
無切,13
切手,20
手胡,4
拾五,4
　第,1
第十,3
十村,3
村迄,3
迄之,21
之間,18
間往,1
往還,4
還道,1
道例,1
例年,5
年之,32
之通,113
共取,6
取繕,4
繕申,1
申付,92
拾六,4
　土,1
土州,5
州木,2
木川,2
川流,2
流之,4
義先,8
年ゟ,12
向事,1
拾七,4
中之,23
之面,41
々近,3
近年,24
年諸,3
諸物,5
物高,7
昨年,24
年違,3
違作,8
作自,1
自然,22
然逼,2
逼迫,4
迫ニ,5
相及,30
及此,1
此度,55
度大,2
大地,3
地震,9
高潮,3
潮ニ,3
而破,1
破損,3
損ニ,4
ニ及,13
及難,3
難義,3
義人,1
人多,3
多有,6
之御,62
御借,5
財利,1
利足,7
足半,2
半数,7
数被,1
拾八,4
　地,1
震ニ,2
付小,1
小松,6
松嶋,6
嶋浦,4
浦出,2
火焼,2
焼出,1
出ニ,13
御救,3
救被,1
付粥,1
粥米,2
内指,1
指上,18
上人,1
人幷,2
幷以,1
以面,1
々ゟ,14
ゟ用,2
用水,2
水引,1
引届,1
届豊,2
豊作,8
作仕,4
仕冥,1
冥加,10
加米,2
上度,3
度寄,1
寄持,5
持之,7
旨被,6
拾九,3
御箱,2
箱訴,2
訴幷,2
安取,2
取捌,3
捌隙,2
隙取,2
取向,1
向後,14
後相,2
相速,6
取候,16
六十,28
々昨,2
而自,2
及候,20
付利,1
数指,3
指入,9
入方,1
方被,2
度質,3
服御,1
御究,7
究ニ,8
毛綿,7
綿類,1
類買,2
買求,2
求之,1
成令,1
令直,2
直上,2
上候,44
北村,2
浦昨,1
年地,2
震高,4
高汐,2
汐ニ,2
付難,3
難渋,43
渋人,5
多候,3
付他,1
国胡,5
者徘,2
徘徊,5
徊せ,3
せし,23
しめ,23
候故,9
故取,1
郷之,5
義絹,1
絹物,5
物ハ,2
ハ勿,15
勿論,29
綿た,2
たり,9
りと,9
とも,43
も高,1
高價,9
價之,4
品取,3
取扱,12
扱不,1
不申,74
申様,23
様事,1
　胡,2
者幷,2
幷博,1
博奕,2
奕取,2
向打,1
打廻,14
廻り,11
り郷,1
郷目,18
目付,21
名面,14
面書,1
諸国,7
国酒,2
酒造,6
造改,3
改被,3
被申,26
人株,1
株数,3
造高,2
高員,1
員数,8
数取,2
究之,7
服被,2
出御,6
付諸,7
物之,7
之類,9
上方,4
方表,1
表仕,1
仕入,5
入金,1
金相,1
相算,2
算候,2
候而,76
而者,32
者大,3
大数,3
数之,5
之趣,40
趣付,1
都合,28
合品,1
品相,6
相調,30
調不,6
申事,54
　巳,1
巳七,1
七月,14
月朔,10
朔日,10
日風,1
雨之,2
趣於,2
戸表,12
表達,2
御聴,4
聴難,1
人取,1
取調,30
調被,1
當手,5
手崎,25
崎之,7
義地,4
盤御,8
下引,3
引請,2
請候,1
候場,11
場處,9
而格,3
格別,23
別繁,1
繁多,6
多諸,1
諸出,7
出入,39
入物,4
物指,3
指添,3
添下,1
下々,18
々迷,6
之向,6
向も,12
も可,26
可有,42
之既,4
既八,2
月以,8
以来,27
来目,3
安壱,3
壱ヶ,1
ヶ月,1
百通,3
通ニ,19
付其,6
其以,3
来相,5
相溜,6
溜り,6
り候,37
候出,10
来正,3
月廿,39
廿一,10
日ゟ,15
ゟ二,5
二月,34
月晦,7
晦日,9
日迄,19
迄壱,2
壱時,9
時手,7
手懸,67
　三,13
半歩,3
懸未,1
未秋,1
ゟ来,5
来戌,1
戌夏,2
夏迄,3
迄丸,3
三ヶ,2
ヶ年,2
年當,2
當之,6
處務,3
務ニ,3
而三,5
半被,3
被召,22
召上,23
七十,12
半上,1
上納,53
納方,7
義被,6
　近,1
近國,1
國共,1
共米,2
價殊,1
殊之,1
之外,18
外引,1
引上,10
上ヶ,1
ヶ御,1
納行,1
行噤,3
噤候,3
様相,53
見へ,4
へ候,1
付淡,2
州表,4
表村,2
爰元,4
元給,2
人手,2
元へ,9
へ相,21
相納,8
納候,4
候年,4
貢米,2
米爰,1
元積,1
返賣,1
賣米,3
調御,4
貢歩,1
懸等,2
等相,8
　江,2
表ゟ,5
尋物,1
物御,1
下在,1
在之,3
人割,1
割付,1
懸り,47
り御,8
御礼,6
礼申,2
上配,1
配方,3
　田,2
田分,1
外買,1
米處,1
處之,3
之分,18
分御,6
指弛,1
弛被,1
於郡,1
郡々,4
々ニ,22
ニ既,1
既入,1
入之,10
外身,2
身居,3
居有,2
者共,68
共新,1
新流,1
砲術,1
術操,1
操練,1
練仕,1
仕度,12
度存,3
存志,1
志之,1
者有,18
之候,69
得ハ,61
ハ人,4
人柄,1
出候,139
様被,40
　郡,3
ゟ是,1
是迄,17
迄他,1
国積,1
出来,26
来候,10
国産,1
産之,1
々積,1
出高,1
高幷,1
幷此,1
此節,5
節之,4
之直,1
直談,1
談申,2
　人,1
人数,10
数御,4
調ニ,1
付子,1
子午,1
午人,1
数組,1
組村,19
村取,1
者狩,1
狩立,1
立御,6
○【,76
【朱,74
朱】,74
】壱,1
壱番,1
店先,1
ゟ度,3
度々,9
究被,8
付就,2
就中,3
中享,1
享和,3
和弐,1
弐年,1
ニも,53
も厳,1
厳密,1
究候,17
事ニ,109
ニ候,145
得共,75
共近,4
年猥,1
猥ニ,2
成上,1
方直,1
直仕,2
入等,3
等い,2
いた,21
たし,21
し候,18
候族,1
族も,1
候哉,11
哉ニ,17
相究,2
候旦,1
旦市,1
市中,24
中ゟ,6
ゟ出,1
出賣,2
賣出,1
出買,2
買之,1
者も,18
も入,1
入込,11
込兼,1
兼而,20
而指,5
免候,2
品之,2
外専,1
専取,1
扱農,1
農家,1
家驕,1
驕之,1
之基,2
基ニ,2
も相,31
成如,1
如何,35
何之,17
依之,3
後稠,1
稠敷,1
敷取,2
究り,1
り直,1
入者,1
者勿,3
論市,1
ゟ之,4
之出,7
買指,1
留宝,1
中觸,1
觸達,8
達候,26
候別,2
別紙,16
紙品,2
分迄,2
迄市,1
之仕,6
入ヲ,1
以相,6
相商,3
商ひ,1
ひ候,2
義指,1
共當,7
當用,2
用指,1
指支,13
支無,2
之哉,14
右之,58
外ニ,6
も要,1
要用,2
用之,4
品於,1
於有,3
之而,3
而ハ,97
ハ是,4
是又,6
又申,1
申談,26
談存,2
存寄,7
可申,193
出事,5
但別,2
別帋,3
帋品,1
内た,2
も市,1
ゟ相,11
調へ,2
へ可,12
可相,24
相濟,2
品も,3
も有,46
ハ指,2
指除,1
除き,1
き可,1
一茶,2
茶塩,1
塩煙,1
煙草,1
草　,1
　一,15
一燈,2
燈油,1
油　,1
　但,1
但請,1
請賣,1
賣小,1
小賣,1
一草,1
草履,1
履木,1
木履,1
履草,1
草鞋,2
鞋　,1
一農,1
農具,1
一舩,2
舩具,1
一墨,1
墨筆,1
筆　,1
一鉄,1
鉄物,1
物鍋,1
鍋釜,1
一薪,1
薪炭,1
炭　,1
一箒,1
一傘,1
傘蓑,1
蓑笠,1
笠　,1
茶碗,1
一杓,1
杓子,1
子柄,1
柄杓,1
杓　,1
一け,1
けん,1
んと,1
とす,1
すい,1
いの,1
の？,1
一苧,1
苧地,1
地布,1
布幷,2
幷縞,3
縞　,3
燈心,1
心附,1
附木,1
山布,1
一箸,1
但染,2
染地,2
地形,2
形付,2
付類,1
類御,2
御停,4
停止,4
一蝋,1
蝋燭,1
燭　,1
一毛,1
綿幷,1
縞毛,1
付等,2
等者,5
一古,1
古手,1
手着,1
着物,1
物　,1
一酢,1
酢醤,1
醤油,1
油味,1
味噌,1
但質,2
質屋,3
屋之,2
外者,2
者古,1
古着,1
着商,1
商賣,1
賣御,1
一鰯,1
鰯　,1
一油,1
油元,1
元結,1
一葬,1
葬送,1
送道,1
道具,3
具　,1
一き,1
きせ,1
せる,1
一丸,1
丸薬,1
薬散,1
散薬,1
薬類,1
類其,1
其余,8
余菜,1
菜【,1
【ヵ,2
ヵ、,1
、薬,1
薬】,1
】種,1
種類,1
以上,61
】弐,1
屋共,32
共へ,69
へ申,39
申渡,33
渡覚,6
国當,1
秋相,1
相熟,1
熟之,1
之年,2
年柄,10
付田,1
田作,2
之村,8
てハ,26
ハ御,31
方迷,1
之筋,9
筋無,2
共関,1
北国,2
国筋,2
段格,1
別高,1
成畠,1
畠作,5
々秋,1
秋毛,1
毛之,1
之作,2
作物,2
物賣,1
賣拂,3
而も,29
も米,1
場行,1
行足,2
足不,1
申其,3
