,count(36539)
【表紙】,1
嘉永二年,1
天印　　,1
印　　　,1
　　　　,296
　　　赤,2
　　赤ラ,1
　赤ラベ,1
赤ラベル,1
諸御趣意,1
御趣意書,16
趣意書幷,1
意書幷御,1
書幷御下,1
幷御下知,1
御下知向,1
下知向之,1
知向之寫,1
酉八月吉,1
八月吉日,1
朱丸壱　,1
丸壱　　,1
壱　　郷,1
　　郷店,1
　郷店賣,1
郷店賣物,1
店賣物宝,1
賣物宝暦,1
物宝暦年,1
宝暦年中,2
暦年中御,1
年中御觸,2
中御觸御,1
御觸御免,1
觸御免之,1
御免之品,1
免之品書,1
之品書事,1
朱丸弐　,1
丸弐　　,1
弐　　関,1
　　関東,1
　関東北,1
関東北國,1
東北國筋,1
北國筋凶,1
國筋凶作,1
筋凶作ニ,2
凶作ニ付,2
作ニ付米,2
ニ付米直,2
付米直段,1
米直段高,1
直段高直,1
段高直ニ,1
高直ニ付,2
直ニ付御,1
ニ付御年,1
付御年貢,1
米之内弐,1
之内弐歩,1
内弐歩通,1
弐歩通四,1
歩通四月,1
通四月迄,1
四月迄御,2
月迄御指,2
迄御指延,2
御指延被,3
指延被仰,3
延被仰付,3
被仰付候,73
仰付候事,15
朱丸参　,1
丸参　　,1
参　　市,1
　　市郷,1
　市郷共,1
市郷共飯,2
郷共飯料,2
共飯料米,1
飯料米相,1
料米相用,1
米相用節,1
相用節一,1
用節一日,1
節一日ニ,1
一日ニ三,1
日ニ三度,1
ニ三度之,1
三度之内,3
度之内来,3
之内来五,2
内来五月,2
来五月迄,2
壱度を粥,1
度を粥ニ,1
を粥ニ可,1
粥ニ可仕,1
ニ可仕趣,1
可仕趣被,1
仕趣被仰,1
趣被仰付,2
仰付候御,5
付候御書,1
候御書付,6
御書付写,4
朱丸四　,1
丸四　　,1
四　　奥,1
　　奥羽,1
　奥羽飢,1
奥羽飢饉,1
羽飢饉ニ,1
飢饉ニ付,1
饉ニ付万,1
ニ付万事,1
付万事倹,1
万事倹約,1
事倹約専,1
倹約専可,1
約専可仕,1
専可仕御,1
可仕御趣,4
仕御趣御,1
御趣御改,1
趣御改候,1
御口達御,1
口達御趣,1
達御趣意,1
趣意書之,9
意書之事,5
朱丸五　,1
丸五　　,1
五　　於,2
　　於江,2
　於江戸,2
於江戸旧,2
江戸旧蝋,1
戸旧蝋奥,1
旧蝋奥羽,1
蝋奥羽筋,1
奥羽筋稀,1
羽筋稀成,1
筋稀成飢,1
稀成飢饉,1
成飢饉御,1
飢饉御趣,1
饉御趣ニ,1
御趣ニ付,2
倹約向被,1
約向被仰,1
向被仰聞,1
被仰聞写,1
朱丸六　,1
丸六　　,1
六　　御,1
　　御郡,1
　御郡代,5
御郡代様,10
郡代様ゟ,3
代様ゟ猶,1
様ゟ猶々,1
ゟ猶々倹,1
猶々倹約,1
々倹約向,1
倹約向御,1
約向御口,1
向御口達,1
御口達書,1
口達書写,1
朱丸七　,1
丸七　　,1
七　　諸,1
　　諸給,1
　諸給人,1
諸給人年,2
給人年貢,3
人年貢不,3
年貢不都,1
貢不都ニ,1
不都ニ付,2
都ニ付村,1
ニ付村役,1
付村役人,1
村役人心,2
役人心ヲ,2
人心ヲ付,2
心ヲ付候,3
ヲ付候様,2
付候様御,1
候様御端,1
様御端書,1
御端書写,2
朱丸八　,1
丸八　　,1
八　　御,2
　　御年,1
　御年貢,1
御年貢御,1
年貢御定,1
貢御定幷,1
御定幷俵,1
定幷俵仕,1
幷俵仕立,1
俵仕立方,1
仕立方御,1
立方御取,1
方御取究,3
御取究筋,2
取究筋写,1
朱丸九　,1
丸九　　,1
九　　番,1
　　番非,1
　番非人,2
番非人小,2
非人小家,2
人小家取,1
小家取崩,2
家取崩方,2
取崩方伺,1
崩方伺書,1
方伺書之,1
伺書之事,1
朱丸拾　,1
丸拾　　,1
拾　　救,1
　　救助,4
　救助銀,5
救助銀皆,1
助銀皆納,1
銀皆納仕,1
皆納仕候,1
納仕候得,1
仕候得者,1
候得者御,1
得者御證,1
者御證文,1
御證文被,1
證文被下,2
文被下候,1
被下候御,1
下候御趣,1
候御趣写,1
朱丸十一,1
丸十一　,1
十一　諸,2
一　諸御,1
　諸御役,1
諸御役場,2
御役場指,1
役場指定,1
場指定候,1
指定候進,1
定候進物,1
候進物勤,1
進物勤向,1
物勤向御,1
勤向御取,2
向御取究,2
御取究御,4
取究御趣,2
究御趣意,2
朱丸十二,1
丸十二　,1
十二　持,1
二　持明,1
　持明院,1
持明院勧,2
明院勧化,2
院勧化之,2
勧化之事,1
【前コマ,1
前コマ裏,1
コマ裏の,1
マ裏の貼,1
裏の貼り,1
の貼り紙,1
貼り紙】,4
○天保四,1
天保四巳,2
保四巳年,2
四巳年　,1
巳年　御,1
年　御趣,1
　御趣意,3
御趣意被,8
趣意被仰,8
意被仰付,2
年觸相申,1
觸相申候,1
相申候覚,1
○天保五,1
天保五午,4
保五午年,4
未申酉戌,1
申酉戌　,1
酉戌　　,1
戌　　此,1
　　此御,3
　此御株,3
此御株無,3
御株無御,3
株無御座,3
無御座候,5
○天保十,2
天保十亥,2
保十亥年,2
子丑　　,1
丑　　　,1
　　　此,2
天保十三,3
保十三寅,3
十三寅年,3
卯　　　,1
○弘化元,1
弘化元辰,1
化元辰年,1
○弘化二,1
弘化二巳,3
化二巳年,3
○弘化三,1
弘化三午,6
化三午年,6
○弘化四,1
弘化四未,2
化四未年,2
○申○酉,1
朱丸十三,1
丸十三　,1
十三　　,1
三　　牽,1
　　牽馬,1
　牽馬町,1
牽馬町方,2
馬町方御,2
町方御取,2
取究御觸,1
究御觸書,1
御觸書写,1
朱丸十四,1
丸十四　,1
十四　　,1
四　　虚,1
　　虚無,1
　虚無僧,2
虚無僧吹,1
無僧吹笛,1
僧吹笛廻,2
吹笛廻在,3
笛廻在取,1
廻在取究,1
在取究懸,1
取究懸合,1
究懸合而,1
懸合而申,1
合而申継,1
而申継之,1
申継之事,2
朱丸十五,1
丸十五　,1
十五　　,2
五　　御,1
　　御家,2
　御家中,5
御家中三,2
家中三歩,2
中三歩半,2
三歩半寄,2
歩半寄懸,2
半寄懸御,1
寄懸御趣,1
懸御趣意,1
意被仰出,4
被仰出書,1
仰出書写,1
朱丸十六,1
丸十六　,1
十六　　,2
六　　諸,1
　　諸職,1
　諸職人,1
諸職人日,2
職人日雇,2
人日雇賃,1
日雇賃銀,5
雇賃銀御,1
賃銀御取,1
銀御取究,1
趣意書写,3
朱丸十七,1
丸十七　,1
十七　　,2
七　　町,1
　　町方,1
　町方盆,1
町方盆踊,1
方盆踊俄,1
盆踊俄御,1
踊俄御取,1
俄御取究,1
御取究書,2
取究書之,1
究書之写,1
朱丸十八,1
丸十八　,1
十八　　,3
　　御山,1
　御山下,4
御山下村,9
山下村々,1
下村々火,1
村々火之,2
々火之用,3
火之用心,9
之用心御,1
用心御取,1
心御取究,1
取究筋之,1
究筋之事,1
朱丸十九,1
丸十九　,1
十九　　,3
九　　救,1
救助銀不,2
助銀不出,1
銀不出之,1
不出之處,1
出之處六,1
之處六ケ,1
處六ケ年,1
六ケ年ニ,1
ケ年ニ御,1
年ニ御指,1
ニ御指延,1
被仰付書,4
仰付書写,1
朱丸二十,5
丸二十　,1
二十　　,1
十　　歩,1
　　歩懸,1
　歩懸来,1
歩懸来酉,1
懸来酉夏,1
来酉夏切,1
酉夏切ニ,1
夏切ニ而,1
切ニ而秋,1
ニ而秋ゟ,1
而秋ゟ御,1
秋ゟ御免,3
ゟ御免被,2
御免被仰,7
免被仰付,7
丸二十一,1
二十一　,2
十一　菊,2
一　菊作,2
　菊作之,2
菊作之義,2
作之義ニ,2
之義ニ付,11
義ニ付御,5
ニ付御趣,3
付御趣意,6
仰付書之,1
付書之写,1
丸二十二,1
二十二　,1
十二　御,1
二　御留,1
　御留野,2
御留野之,3
留野之義,3
野之義ニ,3
ニ付御取,2
付御取究,2
御取究向,5
取究向御,1
究向御趣,1
向御趣意,1
丸二十三,1
二十三　,1
十三　御,2
三　御家,1
御家中歩,2
家中歩懸,2
中歩懸愈,2
歩懸愈酉,1
懸愈酉秋,1
愈酉秋ゟ,1
酉秋ゟ御,2
丸二十四,1
二十四　,1
十四　御,1
四　御留,1
義ニ付文,2
ニ付文化,3
付文化三,2
文化三寅,3
化三寅年,3
三寅年御,2
寅年御記,2
年御記録,2
御記録書,2
記録書写,2
朱丸廿五,1
丸廿五　,1
廿五　　,2
五　　海,1
　　海部,1
