,content
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_13.csv_1,跡くれニ相成り候をも有之令難渋候様相聞随而米直段
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_13.csv_2,直ニ候とも無據何れも全覚悟御年貢相運候義者
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_14.csv_1,【押紙外れヵ】
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_29.csv_1,れん
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_29.csv_2,れす互ニ宜精通し合候ゟ一日之間ニ飲食
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_29.csv_3,纔之寸陰も【不脱ヵ】相厭おのれ〳〵が勤を励ミ出精
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_51.csv_1,取究候ニ付而ハ御古法之通いつれも請状指出
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_54.csv_1,いつれも身之程を不相忘郷分質素之風義を
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_76.csv_1,立候ニ付而ハ銀主方ニて取替等相頼申ニ付何れ利銀
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_90.csv_1,有之処近年違作打續候処ゟいつれも令屈愁
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_92.csv_1,火之用心之義兼而取究向申付置いつれも相心得
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_99.csv_1,一矢先不相厭柳林之中なとへ隠れ居候て
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_99.csv_2,前々之株も浮雲いたし方なれとも
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_111.csv_1,何れも不心得無之様可被申聞義可有了簡旨御目
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_114.csv_1,候得共當年柄何れも減尺飯料相貯候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_128.csv_1,且又何れも借財方ニおいてハ相嵩候場合ニ付何と欤
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_135.csv_1,御家中之面々幷無格末々ニ至迄何れも追々
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_152.csv_1,役人共始申聞何れも追々令承知候時ハ
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_155.csv_1,無之何れ多人数ニ可相成二三月之比ニ
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_179.csv_1,手懸之儀者いつれも難有相心得罷在候処相残候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_179.csv_2,其砌委曲奉伺上可申候様可被仰付哉いつれ
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_185.csv_1,又ハ田植時期ニ相及何れも農繁ニ御座候所ゟ
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_185.csv_2,兼而當郡水乏敷田作之事故何れも孰も
