,content
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_2.csv_1,朱丸参　　市郷共飯料米相用節一日ニ三度之内来五月迄
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_2.csv_2,朱丸十一　諸御役場指定候進物勤向御取究御趣意書
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_4.csv_1,朱丸二十一　菊作之義ニ付御趣意被仰付書之写
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_5.csv_1,嘉永三戌十一月
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_5.csv_2,朱丸三十一　勧農御銀御渡方之事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_6.csv_1,四十一　諸賑向之義御願ニ振候義有之ニ付
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_6.csv_2,四十四　救助御指延ニ付教諭人出勤一件之事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_8.csv_1,六十一　此度質素倹約御制服御究ニ付
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_9.csv_1,来正月廿一日ゟ二月晦日迄壱時手懸
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_9.csv_2,七十一　近國共米價殊之外引上ヶ御年貢
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_11.csv_1,一茶塩煙草　　　　一燈油　但請賣小賣
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_11.csv_2,一草履木履草鞋　　一農具
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_11.csv_3,一　　　　　　　　一舩具
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_11.csv_4,一墨筆　　　　　　一鉄物鍋釜
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_1,一薪炭　　　　　　　　　一箒
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_2,一傘蓑笠　　　　　　　　一茶碗
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_3,一杓子柄杓　　　　　　　一けんとすいの？
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_4,一苧地布幷縞　　　　　　一燈心附木
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_5,山布幷縞　　　　　　　一箸
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_6,一蝋燭　　　　　　　　　一毛綿幷縞毛綿
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_12.csv_7,一古手着物　　　　　　　一酢醤油味噌
