,content
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_9.csv_1,七十　　三歩半上納方之義被仰付御趣意
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_9.csv_2,七十一　近國共米價殊之外引上ヶ御年貢
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_9.csv_3,七十二　江戸表ゟ御尋物御趣意被仰渡
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_9.csv_4,七十三　三歩半歩懸り御免被仰付御趣意
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_10.csv_1,七十四　田分之外買米處之分御年貢
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_10.csv_2,七十五　於郡々ニ既入之外身居有之者共新流
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_10.csv_3,七十六　郡々ゟ是迄他国積出来候御国産之
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_10.csv_4,七十七　人数御取調ニ付子午人数組村取調
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_10.csv_5,七十八　胡乱者狩立御趣意被仰出候事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_1,一五十壱石　敷地　　七十三石　佐野塚　八十七石　矢三
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_2,一拾石五斗　北岩延　八石五斗　東高輪　七十六石　芝原
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_17.csv_3,一四拾弐石　井戸　　百三十六石上助任　七十五石　住吉嶋
