,content
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_2.csv_1,朱丸七　　諸給人年貢不都ニ付村役人心ヲ付候様御端書写
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_4.csv_1,御役人御往来送り夫庄苻【ママ、府】中両傳馬
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_5.csv_1,三十三　他國邊路【ママ、遍路】病死村役人注進書御役場
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_6.csv_1,村々役人共申聞方之事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_6.csv_2,自村役人共行着他村之義も役人共
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_7.csv_1,村役人共取繕申付之事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_8.csv_1,六十五　諸国酒造改被申付御役人株数
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_9.csv_1,御山下在之御役人割付之事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_15.csv_1,右夫々組村々役人共へ申聞村々役人共ゟ百姓共へ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_15.csv_2,一此度之御趣意與頭庄屋ヲ始村役人共能奉承知
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_15.csv_3,一不都ニ付役人共取替多村柄者其高ニ應シ歩通りニ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_19.csv_1,指略程能取計候義村役人共へ得と為相心得
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_19.csv_2,可申筈ニ候所其心得無之者ハ村役人共相應
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_23.csv_1,不申様村役人共厚相心得罷有時々見聞仕り
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_23.csv_2,右之通其手組頭庄屋共ゟ村役人江得と申聞
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_23.csv_3,小百姓幷薄キ者共へ者猶更合被合点仕候様役人共ゟ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_28.csv_1,被仰付候条組村々役人始小百姓ニ至迄
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_29.csv_1,村役人厚相心得罷在時々見聞心ヲ付可申事
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_30.csv_1,天保五午年五月　　　　　組村々役人連判
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_31.csv_1,之候得ハ村役人心ヲ付致世話候様村々役人共へ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_35.csv_1,一出張御役人御賄之義如何相心得可申哉
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_35.csv_2,但組頭庄屋共始其余村役人共之義ハ兼而弁
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_36.csv_1,一番非人小家さか葺ニ出来次第村役人ゟ書付を以御役處様へ
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_38.csv_1,此段諸御役人之面々へ被申聞儀可有了簡旨元〆
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_38.csv_2,市郷之者共諸御役人へ出入等仕従来之懇意ニよつて
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_41.csv_1,相背候もの有之候ニおゐてハ當人ハ勿論村役人共迄越度
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_48.csv_1,組村浦役人共厚相心得ケ條之通取究候様随而
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_48.csv_2,於村浦役人共相揃候上小百姓共至迄不洩様申渡
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_49.csv_1,請書指出候様可申付猶亦村役人支配外身居有之
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_50.csv_1,貢罷成不申趣を以村役人加判請人連判等をも仕
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_50.csv_2,筋等ニ給銀を費親兄弟を始請人村役人雇主
C:\github\webscreping\webscreping\out\publish\諸御趣意書并御下知向之写\page_51.csv_1,但奉公人之義請人連判村役人加判之證文を
