,content
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_1.csv_1,諸御趣意書幷御下知向之寫
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_1,朱丸壱　　郷店賣物宝暦年中御觸御免之品書事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_2,朱丸弐　　関東北國筋凶作ニ付米直段高直ニ付御年貢
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_3,米之内弐歩通四月迄御指延被仰付候事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_4,壱度を粥ニ可仕趣被仰付候御書付写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_5,朱丸四　　奥羽飢饉ニ付万事倹約専可仕御趣御改候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_6,御口達御趣意書之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_7,朱丸五　　於江戸旧蝋奥羽筋稀成飢饉御趣ニ付
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_8,朱丸六　　御郡代様ゟ猶々倹約向御口達書写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_9,朱丸七　　諸給人年貢不都ニ付村役人心ヲ付候様御端書写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_10,朱丸八　　御年貢御定幷俵仕立方御取究筋写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_11,朱丸拾　　救助銀皆納仕候得者御證文被下候御趣写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_2.csv_12,朱丸十一　諸御役場指定候進物勤向御取究御趣意書
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_3.csv_1,○天保四巳年　御趣意被仰付
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_3.csv_2,未申酉戌　　此御株無御座候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_3.csv_3,子丑　　　　此御株無御座候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_3.csv_4,卯　　　　　此御株無御座候
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_1,朱丸十三　　牽馬町方御取究御觸書写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_2,朱丸十五　　御家中三歩半寄懸御趣意被仰出書写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_3,朱丸十六　　諸職人日雇賃銀御取究御趣意書写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_4,朱丸十七　　町方盆踊俄御取究書之写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_5,朱丸十八　　御山下村々火之用心御取究筋之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_6,朱丸十九　　救助銀不出之處六ケ年ニ御指延被仰付書写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_7,朱丸二十　　歩懸来酉夏切ニ而秋ゟ御免被仰付書
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_8,朱丸二十一　菊作之義ニ付御趣意被仰付書之写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_9,朱丸二十二　御留野之義ニ付御取究向御趣意書写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_10,朱丸二十三　御家中歩懸愈酉秋ゟ御免被仰付候事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_11,朱丸二十四　御留野之義ニ付文化三寅年御記録書写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_12,朱丸廿五　　海部郡日和佐浦御陣屋へ阿波郡筋御交仕
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_13,御役人御往来送り夫庄苻【ママ、府】中両傳馬
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_14,朱丸廿六　　右御願向御下知書之ひかへ
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_4.csv_15,朱丸廿七　　救助銀約メ方之義御詰書之写
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_1,御国表他国ニ引競高相場申候にも無之故
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_2,朱丸廿九　　風雨出水ニ付潰家ニ相成御手當御趣意事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_3,舞を覗見せ物等右ニ相準御免之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_4,朱丸三十一　勧農御銀御渡方之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_5,三十二　西洋学盛ニ相成候ニ付蘭学御指留事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_6,三十三　他國邊路【ママ、遍路】病死村役人注進書御役場
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_7,三十五　御郡代様御役替之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_8,三十七　與頭庄屋御用處本畳代又者筆帋
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_9,墨料御尋之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_10,邊路而已哉居宅有之者哉御尋之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_5.csv_11,三十九　芋スキ抔控置有之義御尋之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_6.csv_1,四十　　紛失致候品々御端書之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_6.csv_2,四十一　諸賑向之義御願ニ振候義有之ニ付
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_6.csv_3,四十四　救助御指延ニ付教諭人出勤一件之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_6.csv_4,御主意ニ相振候御趣之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_6.csv_5,取約メ可仕御趣之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_6.csv_6,四十八　別宮川口御川浚御褒演被仰渡書之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_6.csv_7,四十九　御山下村浦火之用心幷目安願
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_6.csv_8,五十　　御城内龍王社ニおいて雨乞之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_1,五拾壱　南北郡之内外勧農御普請受負
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_2,御指留幷右願紙与頭庄屋奥書事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_3,五拾二　御家中面々質素倹約御制服之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_4,五拾三　淡州買米御下知之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_5,五拾四　他国無切手胡乱者御取究向之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_6,五拾六　土州木川流之義先年ゟ御取究向事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_7,五拾七　御家中之面々近年諸物高直
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_8,高潮ニ而破損ニ及難義人多有之御借
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_9,人御救被仰付粥米之内指上人幷以面
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_7.csv_10,五拾九　御箱訴幷目安取捌隙取向後相速
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_8.csv_1,六十　　御家中之面々昨年違作ニ而自然逼迫ニ
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_8.csv_2,六十一　此度質素倹約御制服御究ニ付
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_8.csv_3,六十三　市郷之者御制服之義絹物ハ勿論
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_8.csv_4,六十五　諸国酒造改被申付御役人株数
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_8.csv_5,六十六　御制服被仰出御趣意ニ付諸物之類
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_8.csv_6,御聴難渋人取調被仰出之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_1,六十八　當手崎之義地盤御山下引請候場處
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_2,御趣意書之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_3,候御趣意書之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_4,七十　　三歩半上納方之義被仰付御趣意
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_5,七十一　近國共米價殊之外引上ヶ御年貢
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_6,返賣米相調御年貢歩懸等相納候様
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_7,御趣意書之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_8,七十二　江戸表ゟ御尋物御趣意被仰渡
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_9,御山下在之御役人割付之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_10,七十三　三歩半歩懸り御免被仰付御趣意
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_9.csv_11,書幷右御礼申上配方之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_10.csv_1,七十四　田分之外買米處之分御年貢
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_10.csv_2,御指弛被仰付御趣意書之事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_10.csv_3,七十六　郡々ゟ是迄他国積出来候御国産之
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_10.csv_4,七十七　人数御取調ニ付子午人数組村取調
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_10.csv_5,七十八　胡乱者狩立御趣意被仰出候事
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_11.csv_1,郷店先年ゟ度々御究被仰付就中享和弐年ニも厳密
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_12.csv_1,但染地形付類御停止
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_12.csv_2,但染地形付等者御停止
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_12.csv_3,但質屋之外者古着商賣御停止
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_12.csv_4,一丸薬散薬類其余菜【ヵ、薬】種類御停止
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_12.csv_5,御国當秋相熟之年柄ニ付田作之村々ニおゐてハ御年貢
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_13.csv_1,直ニ候とも無據何れも全覚悟御年貢相運候義者
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_13.csv_2,一枚【牧ヵ】難渋之儀も稀成事ニ候故格別之御慈悲之
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_13.csv_3,御趣意を以北方七郡之内ニ者米上納相調候村々
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_13.csv_4,右之通當年柄ニ付下々難渋之次第厚御評儀之上
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_13.csv_5,被仰付就而者下々之者迚も右御趣意容易相心得
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_13.csv_6,猶又御蔵御年貢之義ハ右之通被仰付候てハ御給人
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_15.csv_1,一此度之御趣意與頭庄屋ヲ始村役人共能奉承知
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_15.csv_2,容易ニ相心得可申然時ハ厚御慈悲も薄相成奉
C:\Users\kaay5\Documents\GitHub\WebScreiping\out\publish\諸御趣意書并御下知向之写\page_15.csv_3,不申候年柄余國之引合ニ而者百姓共御年貢
