,count(2827)
【表紙,1
嘉永二,2
天印　,1
諸御趣,1
酉八月,1
朱丸壱,1
朱丸弐,1
米之内,1
朱丸参,1
壱度を,1
朱丸四,1
御口達,1
朱丸五,1
倹約向,1
朱丸六,1
朱丸七,1
朱丸八,1
朱丸九,1
朱丸拾,1
朱丸十,9
【前コ,1
○天保,4
年觸相,1
未申酉,1
子丑　,1
卯　　,1
○弘化,4
嘉永元,2
○申○,1
朱丸二,5
朱丸廿,5
御役人,1
處ゟ迷,1
候様願,1
御国表,1
積出等,1
嘉永三,4
朱丸三,2
参詣人,1
舞を覗,1
嘉永四,9
三十二,1
三十三,1
手代當,1
三十四,2
三十五,2
三十六,2
三十七,1
墨料御,1
三十八,2
邊路而,1
三十九,1
四十　,1
四十一,2
村々役,2
四十二,2
四十三,1
積送り,2
四十四,1
四十五,1
御主意,2
四十六,1
四十七,1
取約メ,1
四十八,2
四十九,2
自村役,1
鍛合奥,1
面ヲ以,1
五十　,1
五拾壱,1
御指留,1
五拾二,1
五拾三,1
五拾四,1
五拾五,1
村役人,7
五拾六,1
五拾七,1
昨年違,1
高潮ニ,1
財利足,1
五拾八,1
人御救,1
村々ゟ,1
指上度,1
五拾九,1
取候様,2
六十　,1
相及候,2
六十一,1
毛綿類,1
取究向,1
六十二,2
多候ニ,1
候故取,1
六十三,2
毛綿た,1
六十四,2
名面書,1
六十五,2
造高員,1
六十六,2
上方表,1
不都合,2
六十七,1
御聴難,1
六十八,1
ニ而格,1
之向も,1
百通ニ,2
来正月,2
御趣意,9
六十九,2
三ヶ年,1
候御趣,1
七十　,1
書之事,1
七十一,1
上納行,1
爰元給,1
返賣米,1
七十二,1
御山下,2
七十三,1
書幷右,1
七十四,1
御指弛,1
七十五,1
砲術操,1
申出候,9
七十六,1
品々積,1
被仰付,13
七十七,1
七十八,1
○【朱,74
郷店先,1
取究候,5
有之候,3
免候品,1
依之向,1
出買指,1
ゟ之仕,1
右之外,1
可申出,2
但別帋,1
品も有,1
一茶塩,1
一草履,1
一　　,3
一墨筆,1
一薪炭,1
一傘蓑,1
一杓子,1
一苧地,1
山布幷,1
但染地,2
一蝋燭,1
一古手,1
但質屋,2
一鰯　,1
一葬送,1
一丸薬,1
御国當,1
上納方,2
段格別,1
候而も,2
跡くれ,1
高直之,1
直ニ候,1
當前之,1
一枚【,1
之外例,1
来通當,1
午二月,1
但本元,1
性ニて,1
済ニ相,1
度心得,1
右之通,18
不申成,1
猶又御,1
【押紙,4
但云々,1
以下略,1
年貢向,1
速取候,2
右夫々,1
不洩様,2
巳十一,1
一此度,2
不申候,2
容易ニ,2
恐入候,1
引上候,1
運凌安,1
事ニも,1
申聞事,1
一不都,1
割當候,1
相弁成,1
一右様,1
申事一,1
御慈悲,1
心根ニ,1
テツシ,1
シ候程,1
方行届,1
一後年,1
右様之,2
一米四,1
此惣高,1
八厘六,1
美馬三,1
千百七,1
名東西,2
千弐百,1
九百七,1
阿波麻,1
六百四,1
惣合弐,1
此弐歩,5
内六千,1
同六千,1
同五千,1
同三千,1
名東郡,7
一三拾,1
一百三,1
一五十,3
一拾石,1
一廿三,1
一四拾,1
一三十,2
一十八,1
一拾三,1
一三石,1
一御年,1
當置米,1
當置被,1
但御用,1
外賣拂,1
候而ハ,1
一弐歩,1
有之者,2
ニ而ハ,3
有御坐,1
尤成丈,1
一前内,1
指略程,1
可申右,1
乞願出,1
自然之,1
十一月,7
直段ヲ,1
来年へ,1
可申筈,1
取扱遣,1
ゟ上郡,1
抔ハ可,1
地主運,1
下作加,1
無御坐,1
併郡切,1
伺上候,1
天保四,1
御年寄,2
武澤作,1
列座相,1
一市郷,1
五月迄,1
一右同,1
三度之,1
申付候,5
一於郷,1
相用候,1
様申付,1
一郷分,1
米高直,1
込指留,1
右之件,1
等ニ而,1
不作等,1
難渋之,3
違作等,1
理之旨,1
ヲ御労,1
御仁恵,7
得と相,1
別帋被,1
仰出候,4
飯料乏,1
仕飯料,1
飯物相,1
貯出来,1
大数ニ,1
之場ニ,1
相凌候,1
時節ゟ,1
聞召上,2
精々給,1
一右被,1
仰出ニ,1
相撲等,1
